"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"The Citadel",27,8,51.7,21.7,15.9,31.3,34.6,38,46.8,40.2,2015,"NO FINALISTA"
"Toledo",33,20,52.3,18.1,16.2,33.3,29.4,41.2,51.2,36.6,2015,"NO FINALISTA"
"Towson",31,11,44.6,21.5,14.9,41.1,29.5,48.3,44.4,30.1,2015,"NO FINALISTA"
"Troy",27,8,48.9,21.2,19.5,31.3,33.7,38,48.1,33.5,2015,"NO FINALISTA"
"Tulane",30,14,46.4,19.9,20.3,32.6,29.3,34.7,45.5,32,2015,"NO FINALISTA"
"Tulsa",33,23,47.1,17.7,19.7,30.8,28.5,41.4,46.5,32.3,2015,"NO FINALISTA"
"UC Davis",30,23,57.3,20.9,17.9,28.6,33.7,39.3,51.7,44.1,2015,"NO FINALISTA"
"UC Riverside",29,12,46.7,20.2,18.7,30.7,28.7,33.7,45.1,33,2015,"NO FINALISTA"
"UC Santa Barbara",31,17,49.6,16.9,17.9,30.7,29.8,32,46.6,37,2015,"NO FINALISTA"
"UCF",29,11,49.1,19.7,15.8,30.7,36.8,35.1,47.6,34.5,2015,"NO FINALISTA"
"UMass Lowell",28,11,47.9,20.5,23.3,21.6,30.4,34.3,44.6,34.9,2015,"NO FINALISTA"
"UMBC",30,4,46.3,24.1,19.7,23.5,30.5,37.2,45,32.6,2015,"NO FINALISTA"
"UMKC",31,12,46.1,20,23.6,31.7,36.5,40.3,43.7,33.4,2015,"NO FINALISTA"
"UNC Asheville",28,12,49.9,20.8,18.3,31.6,32.2,35.4,48.2,35.2,2015,"NO FINALISTA"
"UNC Greensboro",30,8,49.7,18.8,18.2,30.6,29.7,31.3,47.6,36.1,2015,"NO FINALISTA"
"UNC Wilmington",31,17,47.5,18,20.4,31,32.4,37.5,46.3,34,2015,"NO FINALISTA"
"UNLV",32,17,50.2,17.3,16.2,26.7,32.4,32.7,48,36.1,2015,"NO FINALISTA"
"USC",32,12,46.8,20,19.1,31.5,34.3,33.8,45.8,32.9,2015,"NO FINALISTA"
"USC Upstate",32,20,49.5,16.9,20.3,35.2,33.5,30.4,49.2,33.2,2015,"NO FINALISTA"
"UT Arlington",30,15,49.4,20.8,19.6,31.8,32.8,38.1,50.8,31.3,2015,"NO FINALISTA"
"UT Rio Grande Valley",28,7,44.7,20.9,19,30.4,36.6,38.6,45.6,28.2,2015,"NO FINALISTA"
"Utah St.",30,17,52.4,16.3,17,21.7,34,36.4,48.5,39.4,2015,"NO FINALISTA"
"Utah Valley",28,9,44.5,20.3,17.8,28.5,30.4,33.3,44.4,29.8,2015,"NO FINALISTA"
"UTEP",33,22,52,18.8,18.7,29.1,29.8,43.8,50.9,36.6,2015,"NO FINALISTA"
"UTSA",28,12,47.9,18.2,20.3,35.2,31.3,42.1,47.3,32.7,2015,"NO FINALISTA"
"Vanderbilt",34,20,54.4,20,18.1,31.9,33.1,42.4,51.5,39.6,2015,"NO FINALISTA"
"Vermont",33,19,51.9,20.1,20.1,26.7,29,42.4,51.7,34.9,2015,"NO FINALISTA"
"Virginia Tech",33,11,51.5,18.1,18.9,26,36.6,31.9,47.7,38.9,2015,"NO FINALISTA"
"VMI",28,9,46.9,19.6,20.5,31.9,33.9,29.8,46.7,31.4,2015,"NO FINALISTA"
"Wagner",29,9,44.6,20.1,19.8,37.2,30.3,33.9,44,30.6,2015,"NO FINALISTA"
"Wake Forest",32,13,47.8,19.3,17.1,31.8,26.4,41.5,46.5,33.6,2015,"NO FINALISTA"
"Washington",31,16,49.3,17.5,16.8,31.4,33.2,33.9,48.9,33.4,2015,"NO FINALISTA"
"Washington St.",31,13,49.6,17.3,14.1,26.4,30.3,39.7,48.7,34.2,2015,"NO FINALISTA"
"Weber St.",28,11,48,20.5,16.6,28.8,30.2,46,45,34.9,2015,"NO FINALISTA"
"Western Carolina",30,13,48.8,20.1,20.7,34.7,33.9,34.6,47.2,34.8,2015,"NO FINALISTA"
"Western Illinois",26,6,45.3,18.3,16.7,20,28.9,30.3,41.2,35.2,2015,"NO FINALISTA"
"Western Kentucky",30,18,49.6,18.9,18.9,30.4,29.2,38.7,47.2,35.6,2015,"NO FINALISTA"
"Western Michigan",32,18,51.3,18.1,18.9,29.8,30.4,42.7,49.9,35.9,2015,"NO FINALISTA"
"William & Mary",31,18,56.3,17.5,17.6,24.2,29.9,35.5,54.8,38.9,2015,"NO FINALISTA"
"Winthrop",29,16,50.8,17.7,19,29.4,32.3,35.9,49.2,35.5,2015,"NO FINALISTA"
"Wright St.",29,9,49.8,19,19.8,23.2,30.8,31.5,49,34.1,2015,"NO FINALISTA"
"Yale",30,20,49.9,20.4,19,34.2,27.8,40.9,47.3,36.5,2015,"NO FINALISTA"
"Youngstown St.",29,8,50.1,17.2,17.8,27.6,34.2,35.9,48.5,35.6,2015,"NO FINALISTA"
"Arkansas",36,27,50,16.9,22.3,35.7,34.6,37.3,48.8,34.9,2015,"FINALISTA"
"Butler",34,23,48.4,17,19.5,34.7,25.3,40.8,46.3,35.6,2015,"FINALISTA"
"Cincinnati",34,23,49.5,21,19.9,37.3,32.3,37.1,49.6,32.9,2015,"FINALISTA"
"Dayton",36,27,52.9,17.9,21.1,23.3,28.4,48.1,52.6,35.6,2015,"FINALISTA"
"Georgetown",33,22,51.3,19.2,20.2,34.3,31,43.9,50.5,35.3,2015,"FINALISTA"
"Georgia St.",34,24,52,16.3,23.2,30,34.8,37.7,53.4,32.2,2015,"FINALISTA"
"Iowa",34,22,48.1,17.1,18.9,35.6,30.3,38,47.3,33.3,2015,"FINALISTA"
"Kansas",36,27,49.4,19.2,17.5,34.9,31.6,42.6,46.4,37.9,2015,"FINALISTA"
"Maryland",35,28,51.2,18.9,17.2,28.9,30.5,44.5,48,37.6,2015,"FINALISTA"
"Northern Iowa",35,31,55.9,17.8,19.2,27,26.9,39.8,53.3,39.8,2015,"FINALISTA"
"Ohio St.",35,24,54.2,17,21.6,33.5,32,34.7,53.6,37,2015,"FINALISTA"
"Oregon",35,25,52.3,16.9,16.7,30.2,31.5,29.1,50.8,36.9,2015,"FINALISTA"
"San Diego St.",35,26,46.6,18.6,21.1,35.7,29.7,36.2,45.9,32,2015,"FINALISTA"
"UAB",35,19,47.6,20.1,19.7,34.2,33.1,35.7,46.6,33.2,2015,"FINALISTA"
"Villanova",36,33,55.3,16.3,21.6,32.5,31.2,41.8,53,38.9,2015,"FINALISTA"
"Virginia",34,30,50.6,15.7,17.9,34.3,24.2,34.9,49.7,35.2,2015,"FINALISTA"
"Albany",33,24,49.9,18.8,20.1,32.6,26,39,47.9,35.8,2015,"FINALISTA"
"Baylor",33,23,49.8,20.1,19.3,41.9,31.5,38.6,46.1,38.2,2015,"FINALISTA"
"Belmont",32,21,56.5,20.3,18.5,28.9,29.6,32.2,56.4,37.7,2015,"FINALISTA"
"Buffalo",33,23,48.7,16.7,19.7,34.5,30.4,42.6,47.6,34.1,2015,"FINALISTA"
"Coastal Carolina",30,20,50,17.5,16.9,34.8,28,38.9,48.1,35.9,2015,"FINALISTA"
"Davidson",31,23,55.4,14.1,17,29.6,30.4,28.5,53.1,38.7,2015,"FINALISTA"
"Eastern Washington",32,23,55.1,15.9,17.8,29.3,30.7,35.2,52.2,39.3,2015,"FINALISTA"
"Georgia",33,21,48.5,19.2,16.7,32.2,28.5,47.7,47.2,34.2,2015,"FINALISTA"
"Hampton",35,17,45.6,20.2,20.1,31.8,30.9,43.8,45.6,30.4,2015,"FINALISTA"
"Harvard",28,20,47.1,18.4,20.1,32.4,28.4,38.9,45.5,34.3,2015,"FINALISTA"
"Indiana",34,20,54.4,17.2,15.9,35.3,31.5,32.7,50.2,40.6,2015,"FINALISTA"
"Iowa St.",34,25,54.3,15.8,18.5,28.3,29.6,36.5,54.3,36.2,2015,"FINALISTA"
"Lafayette",32,19,55.8,17.1,16.8,27.7,34.5,30.4,52.8,40.8,2015,"FINALISTA"
"LSU",33,22,50.3,20.2,19.1,33.9,32.9,33.5,50.1,33.9,2015,"FINALISTA"
"Mississippi",34,21,47.8,16.5,18.7,34.8,31.4,36.1,46.8,33.2,2015,"FINALISTA"
"New Mexico St.",32,21,50.6,21.8,20.6,39.3,31,44.3,49.3,36.2,2015,"FINALISTA"
"North Dakota St.",31,21,49.7,16,16.5,26.1,23.7,35.7,45.5,38.2,2015,"FINALISTA"
"Northeastern",35,23,54.5,21.5,15.5,30.1,25.3,41.4,53,38.6,2015,"FINALISTA"
"Oklahoma St.",31,17,50.2,18.5,21.1,26.9,32.6,39,49.2,34.6,2015,"FINALISTA"
"Providence",34,22,48.4,18.1,19.7,35.2,29,40.7,48.9,31.3,2015,"FINALISTA"
"Purdue",34,21,50.3,19.9,17.6,36.5,30.9,41.7,50.9,32.7,2015,"FINALISTA"
"Robert Morris",35,20,50.1,19.8,21.8,31,35.9,35.5,47.4,37.5,2015,"FINALISTA"
"SMU",33,26,52.1,19.5,20.3,36.6,29.2,43.8,51.3,36.3,2015,"FINALISTA"
"St. John's",32,20,49.3,15.7,19.5,27.6,35.4,35.7,48.2,34.5,2015,"FINALISTA"
"Stephen F. Austin",31,26,55.6,20.3,24.5,37.6,29.6,41.9,55.4,37.3,2015,"FINALISTA"
"Texas",34,20,49.1,20.1,14,37.9,28.6,36.6,48.3,33.8,2015,"FINALISTA"
"Texas Southern",35,22,49.5,19.7,18.7,33.8,34.6,46.8,50,32.2,2015,"FINALISTA"
"UC Irvine",32,19,50.7,18.2,17.2,30,30.7,30.2,47.8,38.2,2015,"FINALISTA"
"Valparaiso",31,25,51.3,19,18.6,34.7,27.4,36.6,48,38.4,2015,"FINALISTA"
"VCU",36,26,48.7,15.7,23.5,31.8,30.6,37.3,46.9,34.3,2015,"FINALISTA"
"Wofford",33,26,51.1,17.2,20,29.4,27.7,37.6,49.1,36.8,2015,"FINALISTA"
"Wyoming",33,23,52.2,18.8,17.9,22,27,40.4,54.4,32.6,2015,"FINALISTA"
"Boise St.",32,23,53.2,16.1,19.4,27.8,25.6,32.4,49.6,38.9,2015,"FINALISTA"
"BYU",33,23,53.2,16.4,17.7,33.4,28.4,42.5,50.2,39,2015,"FINALISTA"
"Manhattan",33,19,49.4,21.1,23.9,30.9,33.1,47.4,48.8,33.6,2015,"FINALISTA"
"North Florida",32,20,53.6,18.3,17.9,29.2,31.8,39.7,51.1,38.1,2015,"FINALISTA"
"North Carolina",38,26,51.6,18.2,17.7,40,31.2,35.2,50.9,35.8,2015,"FINALISTA"
"North Carolina St.",36,22,49.3,16,14.9,33.9,30.2,35.3,47.3,35.6,2015,"FINALISTA"
"Oklahoma",35,24,49.3,17.6,19.7,31.5,31.4,32.8,48.2,34.3,2015,"FINALISTA"
"UCLA",36,22,49.6,17.6,17.9,33.8,28.6,35.7,47.4,36.8,2015,"FINALISTA"
"Utah",34,25,55.2,18.2,18.3,31.3,28.4,43.4,52.3,40.1,2015,"FINALISTA"
"West Virginia",35,25,46.1,18.7,28,40.1,31.1,40.4,45.5,31.6,2015,"FINALISTA"
"Wichita St.",34,29,50.3,15,21.3,34.5,27.4,36.2,48.9,35.4,2015,"FINALISTA"
"Xavier",37,23,53.3,18.1,18.8,31.3,27.3,38.5,53.7,35.1,2015,"FINALISTA"
"Abilene Christian",27,9,50.5,19.2,19.2,24.5,27.6,40.3,48.4,36.3,2016,"NO FINALISTA"
"Air Force",30,12,48,18.8,19.4,24.3,28.1,39.6,47,33.4,2016,"NO FINALISTA"
"Akron",34,25,52.7,15.5,16.7,28.5,30.4,30.6,48,38.2,2016,"NO FINALISTA"
"Alabama",33,18,49.6,19.9,18.2,28.3,34.6,40.7,48.5,33.9,2016,"NO FINALISTA"
"Alabama A&M",28,10,46.6,17.6,17,31.6,31.7,38.4,49,28.4,2016,"NO FINALISTA"
"Alabama St.",29,12,45.8,17.2,18.3,31.4,30,31.7,43.6,33.3,2016,"NO FINALISTA"
"Albany",32,23,50.7,18.4,18.7,34.8,25.6,43.3,51.8,32.3,2016,"NO FINALISTA"
"Alcorn St.",28,13,45.6,21.1,17.3,34.8,31.9,38.4,45.3,30.8,2016,"NO FINALISTA"
"American",31,12,49,22.1,19.2,23.5,30.2,31.7,47.7,34.1,2016,"NO FINALISTA"
"Appalachian St.",31,9,47.2,21,15.9,33,32.3,39.1,43.1,35.6,2016,"NO FINALISTA"
"Arizona",34,25,53.6,18.2,16,35,24.9,43.8,52.2,38.1,2016,"FINALISTA"
"Arizona St.",32,15,48.1,17.1,18.3,31.5,27.8,37.8,46.6,33.6,2016,"NO FINALISTA"
"Arkansas",32,16,49.7,15.3,19.6,30.9,30.1,37.6,46.1,39.7,2016,"NO FINALISTA"
"Arkansas Little Rock",33,28,51.9,15.6,21,26.7,29.5,31.5,48.9,38.2,2016,"FINALISTA"
"Arkansas Pine Bluff",33,8,45,23.8,20.2,27.7,37.4,30.1,44.7,30.3,2016,"NO FINALISTA"
"Arkansas St.",29,9,45.8,18,14.9,28,31.2,40.1,45.1,31.5,2016,"NO FINALISTA"
"Army",32,18,49.7,18.5,16.4,31,26.8,31.7,49.3,33.4,2016,"NO FINALISTA"
"Auburn",31,11,47.3,18.9,17.8,27.9,32.3,41,44.3,34,2016,"NO FINALISTA"
"Austin Peay",34,16,51.3,20.2,18.6,31.9,30,47,51,34.7,2016,"FINALISTA"
"Ball St.",34,20,52.2,19.9,16.5,28,26.3,34.8,49.9,36.9,2016,"NO FINALISTA"
"Baylor",33,21,51.6,18.6,19.8,40,28.8,38.6,49.8,37.4,2016,"FINALISTA"
"Belmont",31,19,58.6,19.3,16.5,26.4,30.9,34.5,62.6,36.4,2016,"NO FINALISTA"
"Bethune Cookman",30,12,47.1,18.5,18,32,35.7,31,47.4,31.1,2016,"NO FINALISTA"
"Binghamton",30,8,44.1,20.7,18.2,25.3,28.5,36.2,45,28.4,2016,"NO FINALISTA"
"Boise St.",30,18,51.7,16.4,20.2,27.2,25.5,40.9,53.7,32.6,2016,"NO FINALISTA"
"Boston College",32,7,47.5,20,19.5,21.8,28.6,25.9,46.9,32.3,2016,"NO FINALISTA"
"Boston University",33,18,52.2,19.6,17.1,26.5,28.1,37,51,36.1,2016,"NO FINALISTA"
"Bowling Green",32,14,48.9,18.5,17.1,28.1,28.4,40.2,47.2,35.4,2016,"NO FINALISTA"
"Bradley",31,4,43,25.4,17,24.9,26.7,38.3,43.9,27.7,2016,"NO FINALISTA"
"Brown",27,7,50.2,18.8,16,25.6,31.3,36.9,47.8,35.9,2016,"NO FINALISTA"
"Bryant",30,7,47.3,19.9,16,26.2,33.5,26.9,46.9,32,2016,"NO FINALISTA"
"Bucknell",30,16,52.1,18.7,17.9,29.7,28.4,43.9,51.2,35.8,2016,"NO FINALISTA"
"Buffalo",34,19,49.6,18.8,17.7,31.8,28.7,41.6,49,33.7,2016,"FINALISTA"
"Butler",33,22,52.6,14.5,18.6,32.2,27.5,39.3,49.9,39.3,2016,"FINALISTA"
"BYU",36,25,52.9,15.8,17.8,31.2,25.2,35.3,50.2,38.4,2016,"NO FINALISTA"
"Cal Poly",28,8,48,15.1,15.9,30.1,28.3,35.2,44.9,35.4,2016,"NO FINALISTA"
"Cal St. Bakersfield",30,21,49.3,18.2,21.5,34.1,29.7,38,48.5,34.3,2016,"FINALISTA"
"Cal St. Fullerton",28,8,46.4,19,16.4,29.7,29,43.7,44.4,33.3,2016,"NO FINALISTA"
"Cal St. Northridge",28,8,46.7,19.4,18.9,27.6,31.3,42.1,47.1,30.2,2016,"NO FINALISTA"
"California",34,23,52.2,17.7,14.1,32.4,25.3,41.7,51.1,36.3,2016,"FINALISTA"
"Campbell",27,9,49.5,16.4,18.9,22,30.6,41.4,50.7,31.7,2016,"NO FINALISTA"
"Canisius",33,14,49,15.9,19.6,31,32.8,36.9,47.5,34.1,2016,"NO FINALISTA"
"Central Arkansas",28,7,49.9,19.7,15.8,31.3,29.8,41.9,47.4,37.2,2016,"NO FINALISTA"
"Central Connecticut",29,4,44.8,19.9,14.8,29.9,30.2,31.1,42.3,34.2,2016,"NO FINALISTA"
"Central Michigan",30,14,51.7,13.6,15.9,26.5,31.5,30,50.8,35.2,2016,"NO FINALISTA"
"Charleston Southern",27,6,50,17.9,16.1,24.7,26.9,27.4,49.4,33.8,2016,"NO FINALISTA"
"Charlotte",33,14,51,16.4,18.3,29.7,27.7,33.2,47.7,38.2,2016,"NO FINALISTA"
"Chattanooga",33,27,51.7,18,20.2,32.3,29,41.6,50.7,35.6,2016,"FINALISTA"
"Chicago St.",29,1,42.6,20.4,19,29.5,33.4,28.1,40.9,30.1,2016,"NO FINALISTA"
"Cincinnati",33,22,49.3,16.3,20.3,36.7,30.6,33.2,47.7,34.8,2016,"FINALISTA"
"Clemson",31,17,50.6,15.8,18,30.3,30.3,33.3,49.1,35.2,2016,"NO FINALISTA"
"Cleveland St.",30,7,44.8,21.8,19.9,29.4,31.7,30.9,43.4,32,2016,"NO FINALISTA"
"Coastal Carolina",30,18,49.5,18.8,15.3,30.6,29,35.7,49.1,33.4,2016,"NO FINALISTA"
"Colgate",29,12,52.5,18.4,19.4,26.6,30.6,29.9,50.3,37,2016,"NO FINALISTA"
"College of Charleston",30,16,47.4,19.5,21.6,30.4,26.9,32.8,45.6,34,2016,"NO FINALISTA"
"Colorado",33,21,48.4,18.8,15.4,34.8,24.8,40.5,43.9,38.6,2016,"FINALISTA"
"Colorado St.",32,16,49.9,16.3,14.1,33,25.1,42.3,46.5,36.2,2016,"NO FINALISTA"
"Columbia",33,23,53.5,15.9,19,28.5,26.9,37.9,50.5,38.1,2016,"NO FINALISTA"
"Connecticut",36,25,51.5,16.3,18.2,28.6,29.1,29.6,49.9,36.5,2016,"FINALISTA"
"Coppin St.",29,7,44.2,17.7,18.1,30.7,34.8,37.2,40.6,33.4,2016,"NO FINALISTA"
"Cornell",27,9,48.7,17.9,19.8,22.4,36.1,32.3,47,34.1,2016,"NO FINALISTA"
"Creighton",35,20,53.8,16.1,17.5,27.3,26.1,37.5,54.5,35.2,2016,"NO FINALISTA"
"Dartmouth",27,9,47.5,20.8,20.9,32.8,29.7,38.2,45.9,34.3,2016,"NO FINALISTA"
"Davidson",32,19,52,14.2,15.8,24.9,30.8,32.3,51.1,35.5,2016,"NO FINALISTA"
"Dayton",33,25,51.6,18.6,18,28.7,24.2,40.8,51.5,34.4,2016,"FINALISTA"
"Delaware",30,7,45.3,17.7,13.5,29.6,28,42.2,43.7,32.5,2016,"NO FINALISTA"
"Delaware St.",30,5,44.8,21.1,19.9,27.2,38.8,29.1,42.4,32.4,2016,"NO FINALISTA"
"Denver",31,16,55.7,20.8,22.7,20,31,36.6,54.3,38.3,2016,"NO FINALISTA"
"DePaul",31,9,49.4,21.5,17.8,30.7,29.9,36.5,48.6,34.3,2016,"NO FINALISTA"
"Detroit",29,14,52,17.8,17.2,32.5,29.4,40.5,50.6,36.5,2016,"NO FINALISTA"
"Drake",30,6,50.7,20.5,14.6,25.5,27.8,33.6,47.2,38.2,2016,"NO FINALISTA"
"Drexel",30,6,44.3,16.8,18.1,27.7,28.8,36.9,42.3,32.7,2016,"NO FINALISTA"
"Duke",36,25,53.7,14.3,17.4,33.2,34.7,40.6,51,38.5,2016,"FINALISTA"
"Duquesne",33,16,53.9,18.9,15.6,27.9,28.4,33.6,53.1,36.6,2016,"NO FINALISTA"
"East Carolina",32,12,49,19.4,18.4,28.8,32.3,34.6,47.8,33.9,2016,"NO FINALISTA"
"East Tennessee St.",34,22,53,18.1,17.8,28.3,30.6,34.9,50.4,38.3,2016,"NO FINALISTA"
"Eastern Illinois",28,11,49.9,18,19.5,26.8,34.7,34.4,48.8,34.4,2016,"NO FINALISTA"
"Eastern Kentucky",30,14,56,20.3,20.3,27,34.2,40.3,54.2,39.5,2016,"NO FINALISTA"
"Eastern Michigan",29,14,48.8,17.4,20.9,31.1,36.9,43.5,49.5,31.5,2016,"NO FINALISTA"
"Eastern Washington",32,16,56.4,16.1,15.9,26.7,29.2,35.9,55.4,38.4,2016,"NO FINALISTA"
"Elon",30,14,51.8,17.7,15.8,27.2,29.8,30.4,52.5,33.9,2016,"NO FINALISTA"
"Evansville",33,24,53.4,18.2,18.4,24.5,25,46.9,53.2,35.9,2016,"NO FINALISTA"
"Fairfield",33,19,51.3,17.6,18.9,24.8,34.1,32.6,50,35.4,2016,"NO FINALISTA"
"Fairleigh Dickinson",32,17,51.2,17.7,21,28.4,35.8,33.3,49.5,36.4,2016,"FINALISTA"
"FIU",30,11,52,19.3,14.2,30.8,29.4,35.6,50.7,36.8,2016,"NO FINALISTA"
"Florida",36,21,48.5,16,18.6,32.9,29.5,39.5,48.9,31.9,2016,"NO FINALISTA"
"Florida A&M",27,6,44.8,22.5,20.3,25.4,31.2,42.5,44.4,30.4,2016,"NO FINALISTA"
"Florida Atlantic",31,7,46.7,17.6,16.6,23.1,32.9,32.3,44.2,34.1,2016,"NO FINALISTA"
"Florida Gulf Coast",31,17,51.5,17.2,15.9,31.7,27.5,37.3,51.5,34.2,2016,"FINALISTA"
"Florida St.",34,20,51.8,18,18.9,32.8,28.3,37.8,52.1,34.1,2016,"NO FINALISTA"
"Fordham",30,16,51.5,20.4,22.4,30.4,26.9,33.6,51.2,34.6,2016,"NO FINALISTA"
"Fresno St.",33,23,48.4,15.1,21,30,29.7,37.7,47,34.4,2016,"FINALISTA"
"Furman",33,17,51.5,20.5,19.2,32.1,28.8,43.3,54.2,31.9,2016,"NO FINALISTA"
"Gardner Webb",30,14,47.7,18.6,18.8,31.6,29.3,34.9,46,33.5,2016,"NO FINALISTA"
"George Mason",32,11,45.1,18.6,10.2,33.5,22.8,34.4,45.7,29.2,2016,"NO FINALISTA"
"George Washington",38,28,50.8,16.5,17.5,34.4,27.9,39.1,48.4,37.1,2016,"NO FINALISTA"
"Georgetown",33,15,51.2,19.1,16.3,28.3,28.4,37.9,51.4,33.9,2016,"NO FINALISTA"
"Georgia",34,20,48.1,19.2,15.6,32.4,29.8,43.5,44.8,36.8,2016,"NO FINALISTA"
"Georgia Southern",29,12,47.5,16.2,20,29.7,34.5,37.7,45.6,33.3,2016,"NO FINALISTA"
"Georgia St.",28,14,48.5,18,21.2,24.5,31,37.5,47.1,34.8,2016,"NO FINALISTA"
"Georgia Tech",36,21,49.8,16.7,14.6,37.5,27.2,31.7,48.4,35.7,2016,"NO FINALISTA"
"Gonzaga",35,27,55.2,17.1,15.1,32.1,26,34.4,54.3,37.8,2016,"FINALISTA"
"Grambling St.",28,4,43.8,21.7,20,24.9,32.5,44.2,45.3,27.4,2016,"NO FINALISTA"
"Grand Canyon",32,25,49.8,16.9,19.1,32,27.3,41.5,48.3,35.6,2016,"NO FINALISTA"
"Green Bay",34,21,49.8,15.8,21.1,30.9,32,42.2,48.5,35,2016,"FINALISTA"
"Hampton",31,20,46.7,18.7,16.7,34.5,27.2,41.3,47.3,30.5,2016,"FINALISTA"
"Hartford",32,9,49.1,16.3,18.5,18.9,35.8,33.2,45.6,35.4,2016,"NO FINALISTA"
"Harvard",28,12,51.8,21.5,16.8,29.6,28.4,31.5,48.1,39.2,2016,"NO FINALISTA"
"Hawaii",32,26,51.9,18.1,19.8,30.4,26.4,45.4,54.1,32.2,2016,"FINALISTA"
"High Point",29,18,51.9,15.9,20.6,31.9,31.7,35,49.8,38.2,2016,"NO FINALISTA"
"Hofstra",33,23,51.4,16.7,16.4,31.9,30,39.5,50.1,35.6,2016,"NO FINALISTA"
"Holy Cross",35,15,47.9,16.8,19.6,23.1,29.6,36.1,47.2,32.6,2016,"FINALISTA"
"Houston",32,22,52.2,15.4,18.4,35.8,33.3,34.4,52.1,34.8,2016,"NO FINALISTA"
"Houston Baptist",30,13,50.5,21.1,16.7,29.6,31.9,44.9,49.3,35.5,2016,"NO FINALISTA"
"Howard",30,10,43.6,20.3,18.9,32.6,35.8,48.5,43.4,29.5,2016,"NO FINALISTA"
"Idaho",32,19,48.7,22.7,18.9,34.4,25.3,44.6,46.1,36.3,2016,"NO FINALISTA"
"Idaho St.",29,14,50.1,18.3,17.4,24.7,28.4,38.5,48,35.7,2016,"NO FINALISTA"
"Illinois",34,15,50.2,14.9,19,21.5,28.1,30.5,47.5,36.3,2016,"NO FINALISTA"
"Illinois Chicago",28,3,41.5,21.1,15.7,31.9,30.7,43.2,40.3,30.4,2016,"NO FINALISTA"
"Illinois St.",31,17,47.7,18.5,20.5,30,28.2,30.9,46.2,33.3,2016,"NO FINALISTA"
"Incarnate Word",25,14,49.9,17.8,18.2,22.5,28.8,35.5,44.7,38.9,2016,"NO FINALISTA"
"Indiana",35,27,58.7,19.6,18.9,37.2,29.2,33.9,56.1,41.6,2016,"FINALISTA"
"Indiana St.",31,14,44.7,18.6,17.8,27.3,25.8,41.5,44.7,29.9,2016,"NO FINALISTA"
"Iona",33,22,53.8,17.6,19.2,29.2,31,32.4,52.5,37,2016,"FINALISTA"
"Iowa",33,22,51.3,14.8,18.8,31.9,31.3,33,48.7,37.4,2016,"FINALISTA"
"Iowa St.",35,23,57.1,15.7,16.8,26.2,30.1,26.1,56.7,38.7,2016,"FINALISTA"
"IPFW",32,22,54,17.3,15.7,28.1,26.5,33.4,49,40.3,2016,"NO FINALISTA"
"IUPUI",31,12,46.9,18.9,18.1,27.7,28.1,31.9,45.6,33.3,2016,"NO FINALISTA"
"Jackson St.",34,18,45.7,17.8,20.7,32.3,28.4,30.4,45.4,30.8,2016,"NO FINALISTA"
"Jacksonville",28,12,49.7,15.4,17.4,27,26.1,31.4,45,38.9,2016,"NO FINALISTA"
"Jacksonville St.",29,7,46.6,16.3,18.6,27,34.1,30.9,43.2,34.5,2016,"NO FINALISTA"
"James Madison",31,20,51.6,17.2,15.4,29.5,27,37,50.9,35,2016,"NO FINALISTA"
"Kansas",37,32,55.7,17.8,18.5,32.2,27.9,38.6,52.7,41.3,2016,"FINALISTA"
"Kansas St.",33,17,47.6,20.3,20.8,37,31,42.5,48.7,30,2016,"NO FINALISTA"
"Kennesaw St.",29,9,48.7,18.5,18,28.3,34.6,33.5,47.2,35.1,2016,"NO FINALISTA"
"Kent St.",31,18,49,17.5,16.8,34.1,28,40,49,32.8,2016,"NO FINALISTA"
"Kentucky",36,27,53.5,16.2,18,37.5,31.9,37.8,52.9,36.6,2016,"FINALISTA"
"La Salle",30,8,47.7,18.8,19.1,24.9,34.3,30.9,45.4,33.6,2016,"NO FINALISTA"
"Lafayette",30,6,50.5,18.2,16.7,22.3,32.9,31.6,47.9,36.5,2016,"NO FINALISTA"
"Lamar",26,7,47.4,20.5,19.4,33.4,31.9,42.6,46.7,32.6,2016,"NO FINALISTA"
"Lehigh",31,16,52.1,19.3,18.6,29.1,29.3,31.7,48.5,39.3,2016,"NO FINALISTA"
"Liberty",29,10,53.1,21.3,18.1,21,29.5,25.5,52,36.1,2016,"NO FINALISTA"
"Lipscomb",31,10,51.5,18.6,17.7,26.9,30.2,34.7,50.5,35.2,2016,"NO FINALISTA"
"LIU Brooklyn",31,16,47.9,18.4,19.7,32.2,31.1,41.4,49.5,29.7,2016,"NO FINALISTA"
"Long Beach St.",33,18,49.7,17.4,19.8,27.7,30.6,37.6,46.4,36.7,2016,"NO FINALISTA"
"Longwood",30,7,50.7,20.5,17.3,29.6,28.1,34.3,49.8,34.9,2016,"NO FINALISTA"
"Louisiana Lafayette",32,17,48.8,17.5,16.5,37.7,26.4,42.2,49.9,31.1,2016,"NO FINALISTA"
"Louisiana Monroe",32,18,50.6,18.2,17,31.5,31.6,32.2,50,34.5,2016,"NO FINALISTA"
"Louisiana Tech",31,21,51.3,16.9,19,28.8,29,43,52,33.3,2016,"NO FINALISTA"
"Louisville",31,23,51.9,17.1,21.6,38.5,29.2,31.8,51.9,34.7,2016,"NO FINALISTA"
