"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"Belmont",32,27,57.6,15.2,16,25.3,25,28.5,59.2,37,2019,"FINALISTA"
"Temple",33,23,49.9,15.7,20.6,26.9,29.2,32.5,50.1,33,2019,"FINALISTA"
"Arizona St.",34,23,50.6,18.7,19,31.7,26.9,43.8,50.8,33.6,2019,"FINALISTA"
"St. John's",34,21,51.9,14.3,21.2,21.8,29.4,29.5,50.7,35.8,2019,"FINALISTA"
"Oregon",38,25,52,17.8,20.9,29.6,28.8,29.4,51.6,35.1,2019,"FINALISTA"
"New Mexico St.",33,30,54.1,17.8,19.1,37,22.5,34.6,56.7,34,2019,"FINALISTA"
"Murray St.",31,28,54.8,17.2,19.4,32,30.7,33.5,56.2,34.9,2019,"FINALISTA"
"Liberty",33,29,55.9,17.2,20.5,25.2,26.4,26.7,56.4,36.8,2019,"FINALISTA"
"UC Irvine",36,31,51.3,17.5,16.7,33.7,27,28.7,50.1,35.9,2019,"FINALISTA"
"Vermont",33,27,52.6,16.8,19.1,27.3,22.2,35.9,51.6,35.9,2019,"FINALISTA"
"Northeastern",34,23,56.5,16.6,16.7,22.7,24.6,34.3,55.8,38.2,2019,"FINALISTA"
"Saint Louis",36,23,46.7,19.3,19.4,36,25.1,39.4,47.2,30.4,2019,"FINALISTA"
"Yale",29,22,55.6,17.8,15.2,26.3,24.6,30.1,56,36.5,2019,"FINALISTA"
"Northern Kentucky",33,26,54.6,17.8,18.4,30.6,26,34.8,55,36,2019,"FINALISTA"
"Georgia St.",33,24,53.7,16.4,21,23,33.8,35.4,51.2,38.1,2019,"FINALISTA"
"Old Dominion",35,26,47.2,17.8,18.5,32.1,24.8,28.9,44.1,34.9,2019,"FINALISTA"
"Colgate",34,24,55.9,19.3,17.8,30.2,27.1,28.4,53.5,39.5,2019,"FINALISTA"
"Montana",33,26,56.1,17.3,19.2,27.4,24.9,31.6,55.6,37.8,2019,"FINALISTA"
"Bradley",34,20,49.7,18.8,18.4,26.7,26.7,36.3,46.5,37,2019,"FINALISTA"
"Abilene Christian",30,27,51.9,17.3,23.3,27,28.5,34,49.5,37.7,2019,"FINALISTA"
"Gardner Webb",32,23,54.8,17.1,18.2,22.4,31.3,38.3,53.6,37.7,2019,"FINALISTA"
